通し番号,店名,開店年,開店_交代_raw,メニュー,価格_raw,価格円
11,京急川崎店,2001.0,2001,大,1000,1000.0
12,府中店,2001.0,2001,大,1100,1100.0
14,めじろ台店,2002.0,2002 （2023）,大,1000,1000.0
16,上野毛店,2002.0,2002 （2006）,大,950,950.0
17,京成大久保店,2002.0,2002,大,1100,1100.0
18,環七一之江店,2003.0,2003,大,1000,1000.0
19,相模大野店,2003.0,2003,大,1100,1100.0
20,横浜関内店,2004.0,2004,大,1040,1040.0
21,神田神保町店,2004.0,2004,大,1200,1200.0
22,小岩店,2005.0,2005,大,1100,1100.0
23,ひばりヶ丘駅前店,2006.0,2006,大,1100,1100.0
24,栃木街道店,2007.0,2007,大,1000,1000.0
25,立川店,2008.0,2008 （2023）,大,（1000）,1000.0
26,千住大橋駅前店,2009.0,2009,大,950,950.0
27,湘南藤沢店,2010.0,2010,大,1090,1090.0
28,西台駅前店,2010.0,2010,大,1100,1100.0
29,中山駅前店,2010.0,2010,大,1040,1040.0
30,仙台店2,2011.0,2011,大,1020,1020.0
32,会津若松駅前店,2014.0,2014,大,1200,1200.0
33,新潟店,2015.0,2015,大,1100,1100.0
35,京都店,2017.0,2017,大,1250,1250.0
37,前橋千代田店,2019.0,2019,大,1100,1100.0
38,千葉店,2020.0,2020,大,（1050,1050.0
39,大宮公園駅前店,2020.0,2020,大,1000,1000.0
40,ひたちなか店,2021.0,2021,大,（1000）,1000.0
41,一橋学園店,2022.0,2022,大,（950）,950.0
42,柏店,2023.0,2023,大,1150,1150.0
43,生田駅前店,2023.0,2023,大,900,900.0
44,朝倉街道駅前店,2024.0,2024,大,950,950.0
45,名古屋大曽根店,2025.0,2025,大,950,950.0
1,三田本店,1968.0,1968,大豚,900,900.0
2,目黒店,1995.0,1995,大豚,800,800.0
3,仙川店,1995.0,1995 （2005）,大豚,1200,1200.0
4,新宿歌舞伎町店,1997.0,1997,大豚,1150,1150.0
5,品川店,1997.0,1997,大豚,1250,1250.0
6,新宿小滝橋通り店,1999.0,1999,大豚,1500,1500.0
8,八王子野猿街道店２,2000.0,2000,大豚,（1450）,1450.0
9,池袋東口店,2001.0,2001,大豚,1150,1150.0
11,京急川崎店,2001.0,2001,大豚,1100,1100.0
12,府中店,2001.0,2001,大豚,1300,1300.0
14,めじろ台店,2002.0,2002 （2023）,大豚,1150,1150.0
16,上野毛店,2002.0,2002 （2006）,大豚,1050,1050.0
17,京成大久保店,2002.0,2002,大豚,（1300）,1300.0
18,環七一之江店,2003.0,2003,大豚,1100,1100.0
19,相模大野店,2003.0,2003,大豚,（1450）,1450.0
20,横浜関内店,2004.0,2004,大豚,1220,1220.0
21,神田神保町店,2004.0,2004,大豚,1350,1350.0
22,小岩店,2005.0,2005,大豚,（1300）,1300.0
23,ひばりヶ丘駅前店,2006.0,2006,大豚,1300,1300.0
24,栃木街道店,2007.0,2007,大豚,1200,1200.0
25,立川店,2008.0,2008 （2023）,大豚,（1200）,1200.0
26,千住大橋駅前店,2009.0,2009,大豚,1200,1200.0
27,湘南藤沢店,2010.0,2010,大豚,（1340）,1340.0
28,西台駅前店,2010.0,2010,大豚,（1300）,1300.0
29,中山駅前店,2010.0,2010,大豚,1220,1220.0
30,仙台店2,2011.0,2011,大豚,1230,1230.0
32,会津若松駅前店,2014.0,2014,大豚,（1550）,1550.0
33,新潟店,2015.0,2015,大豚,1450,1450.0
35,京都店,2017.0,2017,大豚,（1550）,1550.0
37,前橋千代田店,2019.0,2019,大豚,1250,1250.0
38,千葉店,2020.0,2020,大豚,（1350）,1350.0
39,大宮公園駅前店,2020.0,2020,大豚,1100,1100.0
40,ひたちなか店,2021.0,2021,大豚,（1200）,1200.0
41,一橋学園店,2022.0,2022,大豚,（1150）,1150.0
42,柏店,2023.0,2023,大豚,（1350）,1350.0
43,生田駅前店,2023.0,2023,大豚,1050,1050.0
45,名古屋大曽根店,2025.0,2025,大豚,1100,1100.0
1,三田本店,1968.0,1968,大W,1000,1000.0
2,目黒店,1995.0,1995,大W,900,900.0
4,新宿歌舞伎町店,1997.0,1997,大W,1250,1250.0
5,品川店,1997.0,1997,大W,1400,1400.0
6,新宿小滝橋通り店,1999.0,1999,大W,1900,1900.0
11,京急川崎店,2001.0,2001,大W,1200,1200.0
18,環七一之江店,2003.0,2003,大W,（1400）,1400.0
20,横浜関内店,2004.0,2004,大W,1400,1400.0
